City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,hermanus,-34.4187,19.2345,56.7,62,0,25.93,ZA,2023-10-29 15:23:32
109,kapuskasing,49.4169,-82.4331,33.8,69,75,10.36,CA,2023-10-29 15:23:32
110,elektrenai,54.7667,24.6333,42.64,93,100,18.16,LT,2023-10-29 15:23:32
111,antalaha,-14.9003,50.2788,73.38,89,16,5.23,MG,2023-10-29 15:23:32
112,grand-bassam,5.2118,-3.7388,82.36,85,17,7.02,CI,2023-10-29 15:23:33
113,aras-asan,8.8908,126.3033,77.32,87,35,4.27,PH,2023-10-29 15:23:33
114,skovorodino,53.9833,123.9167,23.76,67,100,6.33,RU,2023-10-29 15:23:33
115,tortoli,39.9256,9.6572,71.42,73,75,9.22,IT,2023-10-29 15:23:33
116,kingston,17.997,-76.7936,89.24,69,20,10.36,JM,2023-10-29 15:19:04
117,motygino,58.1831,94.7592,18.79,75,47,1.01,RU,2023-10-29 15:23:34
118,badger,64.8,-147.5333,29.8,88,20,4.61,US,2023-10-29 15:23:34
119,port mathurin,-19.6833,63.4167,76.17,79,10,15.08,MU,2023-10-29 15:23:34
120,vilyuchinsk,52.9306,158.4028,38.93,78,90,2.1,RU,2023-10-29 15:19:41
121,aasiaat,68.7098,-52.8699,19.38,84,100,1.77,GL,2023-10-29 15:23:35
122,zuni pueblo,35.0725,-108.8506,56.03,24,2,12.35,US,2023-10-29 15:23:35
123,serenje,-13.2325,30.2352,70.3,55,93,3.47,ZM,2023-10-29 15:23:35
124,lusk,53.5274,-6.1642,51.71,100,40,2.3,IE,2023-10-29 15:23:35
125,chinde,26.8418,88.0763,56.79,76,0,4.79,NP,2023-10-29 15:23:35
126,kirakira,-10.4544,161.9205,79.12,86,70,6.71,SB,2023-10-29 15:23:36
127,olonkinbyen,70.9221,-8.7187,32.54,70,100,2.98,SJ,2023-10-29 15:23:36
128,georgievka,49.3314,81.5761,39.31,99,100,3.6,KZ,2023-10-29 15:23:36
129,kiunga,-6.1219,141.2906,73.36,100,100,1.14,PG,2023-10-29 15:23:36
130,keuruu,62.2667,24.7,25.81,84,81,3.74,FI,2023-10-29 15:23:37
131,punta arenas,-53.15,-70.9167,48.31,49,20,19.57,CL,2023-10-29 15:23:37
132,hafar al-batin,28.4328,45.9708,73.98,31,0,3.44,SA,2023-10-29 15:23:37
133,fort st. john,56.2499,-120.8529,26.49,74,100,3.44,CA,2023-10-29 15:23:38
134,dudinka,69.4058,86.1778,1.67,98,72,4.0,RU,2023-10-29 15:18:52
135,bonthe,7.5264,-12.505,79.38,86,27,6.96,SL,2023-10-29 15:23:38
136,wabag,-5.4781,143.7021,55.08,97,93,1.36,PG,2023-10-29 15:23:38
137,aljezur,37.3191,-8.8033,63.77,93,100,7.99,PT,2023-10-29 15:23:38
138,utrik,11.2278,169.8474,82.83,80,45,19.15,MH,2023-10-29 15:23:38
139,mili,6.0815,171.735,83.39,78,94,14.54,MH,2023-10-29 15:23:39
140,puerto rosario,-24.45,-57.0833,90.63,52,98,3.51,PY,2023-10-29 15:23:39
141,rio grande,-32.035,-52.0986,78.91,87,86,9.33,BR,2023-10-29 15:23:39
142,alliance,40.9153,-81.1059,52.07,97,100,6.35,US,2023-10-29 15:23:39
143,quellon,-43.1167,-73.6167,46.42,68,92,15.57,CL,2023-10-29 15:23:40
144,kashgar,39.4547,75.9797,56.41,33,0,6.71,CN,2023-10-29 15:23:40
145,ringkobing,56.0901,8.244,51.03,88,71,18.23,DK,2023-10-29 15:23:40
146,cheremushki,52.8356,91.3944,30.11,46,100,0.69,RU,2023-10-29 15:23:40
147,kavaratti,10.5669,72.642,83.28,68,98,1.88,IN,2023-10-29 15:23:41
148,kill devil hills,36.0307,-75.676,77.02,59,0,12.66,US,2023-10-29 15:23:41
149,kailua-kona,19.6406,-155.9956,84.6,74,20,8.05,US,2023-10-29 15:23:41
150,taber,49.8167,-112.1518,32.0,69,7,10.36,CA,2023-10-29 15:23:41
151,tucuma,-0.1833,-50.05,86.45,57,7,12.3,BR,2023-10-29 15:23:41
152,port lincoln,-34.7333,135.8667,54.77,85,1,11.77,AU,2023-10-29 15:23:41
153,kerikeri,-35.2268,173.9474,62.91,96,100,5.01,NZ,2023-10-29 15:23:42
154,west island,-12.1568,96.8225,78.78,83,100,14.97,CC,2023-10-29 15:23:42
155,nar'yan-mar,67.6713,53.087,16.11,86,100,13.0,RU,2023-10-29 15:23:42
156,invercargill,-46.4,168.35,46.78,65,13,5.26,NZ,2023-10-29 15:23:42
157,stanley,54.868,-1.6985,47.79,93,75,8.05,GB,2023-10-29 15:23:42
158,babayevo,59.3936,35.9371,21.61,96,49,3.27,RU,2023-10-29 15:21:18
